,nsites,formula_pretty,volume,density,symmetry__crystal_system,symmetry__symbol,symmetry__number,symmetry__point_group,symmetry__symprec,symmetry__version,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_gap_direct,is_metal,ordering,total_magnetization,universal_anisotropy,theoretical,compounds_contain,compounds_contain_count
175,94,Ti17(NO4)6,1113.3884704567856,3.823320576904333,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.0512090856737584,0.0370432141489356,False,0.0753000000000003,False,False,NM,0.0015979,,True,Ti O N,3
176,94,Ti17(NO4)6,1114.503364412684,3.819495916397454,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.050630265886524,0.0376220339361701,False,0.0,False,True,NM,0.161986,,True,Ti O N,3
177,94,Ti17(NO4)6,1112.905543672161,3.8249796430517615,Triclinic,P-1,2,-1,0.1,2.0.2,-3.050773685141844,0.0374786146808503,False,0.1185,False,False,NM,0.0010227,,True,Ti O N,3
178,94,Ti17(NO4)6,1113.4386063249024,3.8231484205814574,Orthorhombic,Ama2,40,mm2,0.1,2.0.2,-3.05251737929078,0.0357349205319152,False,0.0,False,True,NM,0.0617943,,True,Ti O N,3
179,94,Ti17(NO4)6,1112.2274678102444,3.827311563853343,Triclinic,P-1,2,-1,0.1,2.0.2,-3.051254824822695,0.0369974749999979,False,0.0454999999999996,False,False,NM,0.0068362,,True,Ti O N,3
180,94,Ti17(NO4)6,1112.9485544228296,3.8248318237791774,Triclinic,P-1,2,-1,0.1,2.0.2,-3.0511180088652483,0.0371342909574465,False,0.0011000000000001,False,False,NM,0.002232,,True,Ti O N,3
181,94,Ti17(NO4)6,1113.5373901734515,3.8228092624015058,Monoclinic,P2/c,13,2/m,0.1,2.0.2,-3.050515765460993,0.0377365343617004,False,0.0,False,True,NM,0.1995638,,True,Ti O N,3
182,94,Ti17(NO4)6,1113.0409924964258,3.824514171430339,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.051765738014184,0.0364865618085108,False,0.0,False,True,NM,0.000203,,True,Ti O N,3
183,94,Ti17(NO4)6,1112.9916204131869,3.824683826105682,Triclinic,P-1,2,-1,0.1,2.0.2,-3.051761048439716,0.0364912513829782,False,0.1071999999999997,False,False,NM,0.0028505,,True,Ti O N,3
184,94,Ti17(NO4)6,1113.1592770972677,3.8241077775373102,Orthorhombic,Pmmn,59,mmm,0.1,2.0.2,-3.0514389114184395,0.0368133884042549,False,0.0,False,True,NM,0.0015157,,True,Ti O N,3
